Or,FreeFlow,Car_Avg,PT_Avg,FullFreq,POP2017
07913341,1376045,1211011,967379,1198166,8475
07913342,1363369,1216831,770863,1021354,7210
07913343,1362207,1201764,860803,1067565,8815
07913344,1399009,1246326,856808,1230863,3562
07913345,1363917,1211937,834315,1076126,3025
07913346,1355979,1199212,904759,1119218,4531
07913347,1357679,1201783,793074,1075305,7359
07913348,1359418,1202750,858248,1097249,7523
07913349,1305466,1149299,781020,1107580,0
07913350,1380929,1207470,833584,1124511,67
07913351,1391266,1223974,969688,1210352,7089
07913352,1344231,1175236,922849,1143308,7683
07913353,1340751,1165238,895922,1131426,5798
07913354,1377491,1187956,884546,1160792,6100
07913355,1340996,1158343,934211,1238315,9816
07913356,1354852,1165848,893789,1172629,2705
07913357,1319098,1152994,875472,1121865,8837
07913358,1317970,1162475,857567,1076603,4602
07913359,1294622,1122689,854891,1132857,4312
07913360,1287799,1131582,799784,1087800,11013
07913361,1321958,1137840,870166,1157914,2769
07913362,1298367,1133451,766762,1034528,7532
07913363,1315028,1157482,863924,1064283,8220
07913364,1309069,1151094,773886,1040370,8307
07913365,1338042,1173973,827708,1022177,6583
07913366,1360868,1179563,798750,1014292,8078
07913367,1313862,1151188,757277,1014523,8291
07913368,1348301,1165846,734755,991673,4357
07913369,1393559,1199536,604193,838656,593
07913370,1334936,1152434,928708,1200568,8139
07913371,1351369,1167057,868840,1159217,5393
07913372,1333577,1148227,905535,1204020,5296
07913373,1324917,1146856,843470,1157774,8497
07913374,1337267,1161748,842478,1173945,5427
07914375,1398875,1270839,962761,1188847,3030
07914376,1437281,1309935,799007,1024648,0
07914377,1407046,1274651,731452,938789,1
07914378,1383293,1243193,673995,921955,0
07914379,1413238,1280634,984050,1224067,7695
07914380,1403475,1264525,918127,1156792,6977
07914381,1408772,1282051,943306,1169352,5433
07914382,1386102,1256692,891614,1168621,3059
07914383,1381293,1234667,890479,1141528,5459
07914384,1374692,1241748,888257,1101206,5722
07914385,1358126,1216354,885268,1102494,7082
07914386,1367451,1218519,807936,1021239,7198
07914387,1363747,1223873,790836,1064306,8394
07914388,1346854,1206478,865885,1080748,5010
07914389,1349852,1206316,873742,1105253,3965
07914390,1384106,1229513,871816,1183606,4246
07914391,1402112,1245844,912423,1213419,5362
07914392,1373836,1220795,793326,1065233,6435
07914393,1349876,1192382,869064,1126261,6541
07914394,1370405,1211288,863104,1117840,29
07914395,1401967,1242411,869138,1184194,2548
07915396,1365642,1279541,909016,1205580,11353
07915397,1369796,1279918,937154,1171619,7054
07915398,1390185,1304869,832801,1118721,3523
07915399,1411487,1314788,888409,1134716,1552
07915400,1384081,1289336,935321,1204628,6122
07915401,1401328,1290750,931455,1172236,8221
07915402,1427601,1321163,957457,1235387,4002
07915403,1419597,1315313,954064,1235350,138
07915404,1384148,1275157,881375,1133349,568
07915405,1414555,1312993,950356,1185710,3675
07915406,1384980,1275711,904605,1159410,3090
07915407,1425995,1322062,946977,1163922,2371
07915408,1407713,1303435,1021311,1239308,8398
07915409,1348155,1224390,871617,1160260,6581
07915410,1372146,1261067,1010605,1246302,8849
07915411,1408855,1301113,985857,1222775,5093
07915412,1384334,1273368,954808,1213407,5890
07915413,1371779,1260291,996398,1216060,6464
07915414,1322218,1202314,1024690,1241785,8734
07915415,1318062,1200102,936483,1147592,3092
07915416,1376110,1245474,974535,1246510,6885
07915417,1377832,1252638,965826,1195930,8253
07915418,1340140,1213981,994909,1212340,8012
07915419,1309485,1186154,1017150,1228270,9340
07915420,1329565,1202104,976698,1211490,7533
07915421,1318334,1193789,974070,1201487,6371
07915422,1319843,1194577,925197,1128356,7931
07915423,1305756,1177637,962154,1193997,10535
07915424,1360224,1220663,799576,1048012,10723
07915425,1408413,1288725,996125,1219743,7542
07915426,1391298,1266831,1053995,1297435,6720
07915427,1419289,1294912,906202,1173077,7370
07915428,1377174,1246654,934375,1174543,9728
07915429,1389993,1262848,840732,1033593,839
07916430,1312483,1226677,680357,1153357,82
07916431,1314993,1229222,743994,1063901,5232
07916432,1356296,1275236,755628,1181651,0
07916433,1306005,1226945,785426,1070180,12111
07916434,1365292,1275733,656436,956078,4380
07916435,1342525,1252396,808148,1104357,6176
07916436,1348769,1265511,777261,1061274,968
07916437,1368734,1275498,806385,1095263,8605
07916438,1260503,1163430,545631,942320,3698
07916439,1214754,1132513,420569,889544,636
07916440,1395172,1304786,767511,1037880,9194
07916441,1345700,1252198,774988,1061437,5
07916442,1350234,1260444,798540,1071663,7940
07916443,1331924,1249156,818660,1076239,7212
